date,item_id,total_sales,total_units_ordered
01-06-2025,0,309.99,1
01-06-2025,3,338,2
01-06-2025,4,617.99,3
01-06-2025,9,219,1
01-06-2025,12,534,3
01-06-2025,13,131.99,1
01-06-2025,15,6551.98,51
01-06-2025,17,674.89,7
01-06-2025,18,2317.13,27
01-06-2025,20,296.94,3
01-06-2025,21,22767.21,258
01-06-2025,22,1487.88,12
01-06-2025,23,1140,5
01-06-2025,24,894,3
01-06-2025,25,745,5
01-06-2025,26,444,3
01-06-2025,27,12159.24,76
01-06-2025,28,1792,14
01-06-2025,29,2299.77,23
01-06-2025,31,175,1
01-06-2025,32,990,5
01-06-2025,34,609.78,3
01-06-2025,43,134.78,1
01-06-2025,44,175,1
01-06-2025,49,198,1
01-06-2025,51,0,0
01-06-2025,52,354,3
01-06-2025,54,279.99,1
01-06-2025,56,176.62,1
01-06-2025,58,195,3
01-06-2025,59,130,2
01-06-2025,61,239.99,1
01-06-2025,62,767.94,6
01-06-2025,64,2380.56,25
01-06-2025,65,512,4
01-06-2025,66,168,1
01-06-2025,79,0,0
01-06-2025,111,0,0
01-06-2025,134,159.99,1
01-06-2025,137,740,5
01-06-2025,139,218,1
01-06-2025,141,356,2
01-06-2025,145,328,1
01-06-2025,146,138,1
01-06-2025,148,108.99,1
01-06-2025,150,767.92,8
01-06-2025,154,417,3
01-06-2025,161,12867.92,198
01-06-2025,164,88.99,1
01-06-2025,170,0,0
01-06-2025,264,168,1
02-06-2025,0,657,3
02-06-2025,3,507,3
02-06-2025,4,597,3
02-06-2025,5,0,0
02-06-2025,9,0,0
02-06-2025,12,534,3
02-06-2025,13,263.98,2
02-06-2025,14,0,0
02-06-2025,15,13056,102
02-06-2025,17,1735.23,19
02-06-2025,18,1612.28,19
02-06-2025,20,395.92,4
02-06-2025,21,19163.41,218
02-06-2025,22,1810.8,15
02-06-2025,23,1669.98,7
02-06-2025,24,1192,4
02-06-2025,25,298,2
02-06-2025,26,1628,11
02-06-2025,27,15341.49,96
02-06-2025,28,3773.4,30
02-06-2025,29,1699.83,17
02-06-2025,31,175,1
02-06-2025,32,594,3
02-06-2025,34,0,0
02-06-2025,39,159,1
02-06-2025,43,0,0
02-06-2025,44,0,0
02-06-2025,48,268.84,1
02-06-2025,49,0,0
02-06-2025,52,236,2
02-06-2025,54,0,0
02-06-2025,56,0,0
02-06-2025,58,130,2
02-06-2025,59,650,10
02-06-2025,61,0,0
02-06-2025,62,383.97,3
